id,title,rating
1,The Shawshank Redemption,8.34375
2,The Godfather,8.1875
3,Fight Club,8.171875
4,Pulp Fiction,8.15625
5,The Dark Knight,8.1015625
6,Forrest Gump,8.0625
7,Schindler's List,8.0390625
8,Whiplash,8.03125
9,Inception,8.0234375
10,The Empire Strikes Back,8.0078125
11,千と千尋の神隠し,8.0078125
12,Interstellar,8.0
13,The Godfather: Part II,7.96875
14,The Lord of the Rings: The Return of the King,7.96875
15,Star Wars,7.94140625
16,The Green Mile,7.94140625
17,Se7en,7.921875
18,The Lord of the Rings: The Fellowship of the Ring,7.87890625
19,GoodFellas,7.87109375
20,The Silence of the Lambs,7.87109375
21,The Lord of the Rings: The Two Towers,7.859375
22,American History X,7.859375
23,One Flew Over the Cuckoo's Nest,7.8515625
24,Memento,7.8515625
25,Inside Out,7.83984375
26,Back to the Future,7.828125
27,The Shining,7.828125
28,The Imitation Game,7.8203125
29,The Lion King,7.80859375
30,Guardians of the Galaxy,7.80078125
31,The Usual Suspects,7.80078125
32,The Matrix,7.7890625
33,The Grand Budapest Hotel,7.78125
34,Psycho,7.78125
35,The Prestige,7.78125
36,The Wolf of Wall Street,7.75
37,Room,7.75
38,Inglourious Basterds,7.75
39,Dead Poets Society,7.73828125
40,Reservoir Dogs,7.73828125
41,12 Angry Men,7.73828125
42,Gone Girl,7.73828125
43,Gladiator,7.73046875
44,ハウルの動く城,7.71875
45,もののけ姫,7.71875
46,Saving Private Ryan,7.7109375
47,Django Unchained,7.7109375
48,Return of the Jedi,7.69921875
49,"Il buono, il brutto, il cattivo",7.69921875
50,Alien,7.69140625
51,The Departed,7.69140625
52,Scarface,7.69140625
53,Her,7.6796875
54,Shutter Island,7.66015625
55,WALL·E,7.66015625
56,12 Years a Slave,7.6484375
57,Big Hero 6,7.6484375
58,Eternal Sunshine of the Spotless Mind,7.6484375
59,Taxi Driver,7.640625
60,Blade Runner,7.640625
61,American Beauty,7.62890625
62,Prisoners,7.609375
63,Cidade de Deus,7.609375
64,2001: A Space Odyssey,7.609375
65,The Truman Show,7.609375
66,Dallas Buyers Club,7.6015625
67,Good Will Hunting,7.58984375
68,Apocalypse Now,7.578125
69,Up,7.5703125
70,올드보이,7.55859375
71,Harry Potter and the Prisoner of Azkaban,7.55859375
72,Requiem for a Dream,7.55078125
73,The Pianist,7.55078125
74,The Theory of Everything,7.55078125
75,Le fabuleux destin d'Amélie Poulain,7.5390625
76,Toy Story,7.5390625
77,Kill Bill: Vol. 1,7.53125
78,Gran Torino,7.53125
79,Into the Wild,7.53125
80,The Big Lebowski,7.51953125
81,V for Vendetta,7.51171875
82,The Dark Knight Rises,7.51171875
83,Terminator 2: Judgment Day,7.5
84,Spotlight,7.5
85,Trainspotting,7.48828125
86,Raiders of the Lost Ark,7.48828125
87,The Martian,7.48828125
88,Catch Me If You Can,7.48828125
89,Finding Nemo,7.46875
90,Donnie Darko,7.46875
91,Captain America: The Winter Soldier,7.4609375
92,Braveheart,7.4609375
93,Once Upon a Time in America,7.4609375
94,Aliens,7.44921875
95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,7.44921875
96,The Sixth Sense,7.44921875
97,The Notebook,7.44140625
98,A Beautiful Mind,7.44140625
99,No Country for Old Men,7.44140625
100,Edge of Tomorrow,7.44140625
